"genes","logFC","logCPM","LR","PValue","FDR","Gene_Symbol"
"ENSG00000180573",0.40188928543866,4.74055869291788,19.9700398874626,7.86651285823092e-06,0.000499852952504042,"H2AC6"
"ENSG00000139496",-0.326828914770986,6.75521856441431,19.8841100302504,8.22813918478881e-06,0.000519490307124158,"NUP58"
"ENSG00000115216",0.336046533481228,7.81419298256646,19.8776232716033,8.25610612919237e-06,0.000519490307124158,"NRBP1"
"ENSG00000148400",-0.356670012966964,6.13148503541722,19.7995487555494,8.60029780117291e-06,0.000538520589016162,"NOTCH1"
"ENSG00000187123",-0.726220272402176,2.70411902326634,19.7136737461337,8.99554063759087e-06,0.000560548206204274,"LYPD6"
"ENSG00000118855",-0.417097614866977,6.04541166760875,19.6827992954892,9.14205584430178e-06,0.000566586190693171,"MFSD1"
"ENSG00000113580",0.373904248612796,6.85853366961754,19.6748248765821,9.180286367538e-06,0.000566586190693171,"NR3C1"
"ENSG00000113742",-0.555405202797218,5.10341143371991,19.5914455246622,9.58976148018813e-06,0.000584983567372948,"CPEB4"
"ENSG00000113456",-0.296142488757347,5.5303564182064,19.5879590206776,9.60727754628698e-06,0.000584983567372948,"RAD1"
"ENSG00000197903",0.383297253221349,4.49560186532266,19.5865374386312,9.61442873734901e-06,0.000584983567372948,"H2BC12"
"ENSG00000153214",-0.442755366594104,5.76193800452419,19.4713608574642,1.02119371357343e-05,0.000618421488797355,"TMEM87B"
"ENSG00000122417",-0.429688146050522,5.3643802381101,19.4532687879445,1.03091256057611e-05,0.000621389771909872,"ODF2L"
"ENSG00000133731",-0.441936002263619,5.28056876597679,19.3735239616172,1.07486958863586e-05,0.00064487175924716,"IMPA1"
"ENSG00000165338",-0.398758459371557,3.92277990170566,19.3475837180004,1.08957028004525e-05,0.000650665140847394,"HECTD2"
